venue_id,venue_name,stadium,city
39,Bulawayo Athletic Club,Bulawayo Athletic Club,
40,"Bundaberg Rum Stadium, Cairns",Bundaberg Rum Stadium,Cairns
41,Cambusdoon New Ground,Cambusdoon New Ground,
42,"Cambusdoon New Ground, Ayr",Cambusdoon New Ground,Ayr
43,Captain Roop Singh Stadium,Captain Roop Singh Stadium,
44,"Captain Roop Singh Stadium, Gwalior",Captain Roop Singh Stadium,Gwalior
45,Carisbrook,Carisbrook,
46,Castle Avenue,Castle Avenue,
47,"Castle Avenue, Dublin",Castle Avenue,Dublin
48,"Cazaly's Stadium, Cairns",Cazaly's Stadium,Cairns
49,Central Broward Regional Park Stadium Turf Ground,Central Broward Regional Park Stadium Turf Ground,
50,Chevrolet Park,Chevrolet Park,
51,Chittagong Divisional Stadium,Chittagong Divisional Stadium,
52,"Choice Moosa Stadium, Pearland",Choice Moosa Stadium,Pearland
53,"Civil Service Cricket Club, Stormont",Civil Service Cricket Club,Stormont
54,"Civil Service Cricket Club, Stormont, Belfast",Civil Service Cricket Club,Stormont
55,Clontarf Cricket Club Ground,Clontarf Cricket Club Ground,
56,"Clontarf Cricket Club Ground, Dublin",Clontarf Cricket Club Ground,Dublin
57,Cobham Oval (New),Cobham Oval (New),
58,County Ground,County Ground,
59,"County Ground, Bristol",County Ground,Bristol
60,"County Ground, Chelmsford",County Ground,Chelmsford
61,Daren Sammy National Cricket Stadium,Daren Sammy National Cricket Stadium,
62,"Daren Sammy National Cricket Stadium, Gros Islet",Daren Sammy National Cricket Stadium,Gros Islet
63,"Darren Sammy National Cricket Stadium, St Lucia",Darren Sammy National Cricket Stadium,St Lucia
64,"Davies Park, Queenstown",Davies Park,Queenstown
65,De Beers Diamond Oval,De Beers Diamond Oval,
