match_id,team,innings_number,total_runs,total_wickets,balls_bowled,overs_bowled,run_rate,extras,boundaries_4s,boundaries_6s,boundaries_total,venue,city,date,opposition,match_outcome,player_of_match,teams,team_batting_avg,team_strike_rate,team_centuries,team_fifties,team_boundaries_4s,team_boundaries_6s,team_players_count,team_bowling_avg,team_economy,team_wickets,team_maidens,team_batsmen,team_bowlers,team_allrounders,team_wicketkeepers,venue_avg_runs,venue_runs_std,venue_matches,venue_min_runs,venue_max_runs,venue_avg_rr,venue_rr_std,venue_avg_boundaries,venue_total_boundaries,venue_high_scoring,opp_avg_runs,opp_runs_std,opp_matches,opp_avg_rr,opp_rr_std,opp_avg_boundaries,opp_total_boundaries,team_balance,venue_advantage
1118922,Zimbabwe,1,139,0,134,22.333333333333332,6.223880597014926,15,12,0,12,Wanderers Cricket Ground,Windhoek,2017-09-12,Kenya,Zimbabwe,['CS Mugeri-Tiripano'],"['Zimbabwe', 'Kenya']",16.287200000000002,102.61115384615384,0.0,40.0,840.0,267.0,50,43.15235294117647,5.693333333333333,0.0,190.0,12,10,8,5,93.0,23.64,22,58,161,4.57,1.02,7.5,165,0,110.62,32.56,8,5.34,1.49,9.38,75,0.5454545454545454,-55.07194923857867
1118922,Kenya,2,94,0,136,22.666666666666668,4.147058823529411,21,8,0,8,Wanderers Cricket Ground,Windhoek,2017-09-12,Zimbabwe,Zimbabwe,['CS Mugeri-Tiripano'],"['Zimbabwe', 'Kenya']",25.0,120.0,0.0,0.0,0.0,0.0,0,30.0,7.0,0.0,0.0,6,4,1,1,93.0,23.64,22,58,161,4.57,1.02,7.5,165,0,110.86,31.97,7,5.54,1.79,10.71,75,0.6,-55.07194923857867
1118923,Tanzania,1,102,0,133,22.166666666666668,4.601503759398496,24,8,0,8,Wanderers Cricket Ground,Windhoek,2017-09-12,Namibia,Namibia,['SA Wittmann'],"['Tanzania', 'Namibia']",25.0,120.0,0.0,0.0,0.0,0.0,0,30.0,7.0,0.0,0.0,6,4,1,1,93.0,23.64,22,58,161,4.57,1.02,7.5,165,0,111.71,30.0,7,5.54,1.33,8.86,62,0.6,-55.07194923857867
1118923,Namibia,2,103,0,110,18.333333333333332,5.618181818181818,5,11,0,11,Wanderers Cricket Ground,Windhoek,2017-09-12,Tanzania,Namibia,['SA Wittmann'],"['Tanzania', 'Namibia']",25.0,120.0,0.0,0.0,0.0,0.0,0,30.0,7.0,0.0,0.0,6,4,1,1,93.0,23.64,22,58,161,4.57,1.02,7.5,165,0,90.75,10.01,4,4.92,0.47,8.25,33,0.6,-55.07194923857867
1118924,Kenya,1,117,0,131,21.833333333333332,5.358778625954199,11,13,0,13,Wanderers Cricket Ground,Windhoek,2017-09-13,Namibia,Kenya,['S Wetoto'],"['Kenya', 'Namibia']",25.0,120.0,0.0,0.0,0.0,0.0,0,30.0,7.0,0.0,0.0,6,4,1,1,93.0,23.64,22,58,161,4.57,1.02,7.5,165,0,111.71,30.0,7,5.54,1.33,8.86,62,0.6,-55.07194923857867
1118924,Namibia,2,99,0,129,21.5,4.604651162790698,15,6,0,6,Wanderers Cricket Ground,Windhoek,2017-09-13,Kenya,Kenya,['S Wetoto'],"['Kenya', 'Namibia']",25.0,120.0,0.0,0.0,0.0,0.0,0,30.0,7.0,0.0,0.0,6,4,1,1,93.0,23.64,22,58,161,4.57,1.02,7.5,165,0,110.62,32.56,8,5.34,1.49,9.38,75,0.6,-55.07194923857867
1118925,Zimbabwe,1,161,0,128,21.333333333333332,7.546875,18,20,0,20,Wanderers Cricket Ground,Windhoek,2017-09-13,Uganda,Zimbabwe,['CS Mugeri-Tiripano'],"['Zimbabwe', 'Uganda']",16.287200000000002,102.61115384615384,0.0,40.0,840.0,267.0,50,43.15235294117647,5.693333333333333,0.0,190.0,12,10,8,5,93.0,23.64,22,58,161,4.57,1.02,7.5,165,0,100.25,33.42,8,5.34,2.13,10.38,83,0.5454545454545454,-55.07194923857867
1118925,Uganda,2,102,0,132,22.0,4.636363636363637,13,10,0,10,Wanderers Cricket Ground,Windhoek,2017-09-13,Zimbabwe,Zimbabwe,['CS Mugeri-Tiripano'],"['Zimbabwe', 'Uganda']",25.0,120.0,0.0,0.0,0.0,0.0,0,30.0,7.0,0.0,0.0,6,4,1,1,93.0,23.64,22,58,161,4.57,1.02,7.5,165,0,110.86,31.97,7,5.54,1.79,10.71,75,0.6,-55.07194923857867
1119501,Australia,1,118,0,114,19.0,6.2105263157894735,3,11,2,13,JSCA International Stadium Complex,Ranchi,2017-10-07,India,India,['Kuldeep Yadav'],"['Australia', 'India']",17.843999999999998,113.89703703703707,6.0,72.0,1271.0,542.0,53,43.237272727272725,5.711304347826087,0.0,227.0,7,20,16,6,83.5,48.79,2,49,118,7.56,1.91,10.5,21,0,147.7,37.55,30,7.64,1.52,17.7,531,0.25925925925925924,-64.57194923857867
1119501,India,2,49,0,33,5.5,8.909090909090908,1,7,1,8,JSCA International Stadium Complex,Ranchi,2017-10-07,Australia,India,['Kuldeep Yadav'],"['Australia', 'India']",23.668000000000003,131.1275,12.0,134.0,1843.0,836.0,71,43.14681818181818,5.676923076923076,0.0,371.0,17,28,15,7,83.5,48.79,2,49,118,7.56,1.91,10.5,21,0,140.72,48.92,18,7.22,2.12,15.83,285,0.37777777777777777,-64.57194923857867
