innings_number,overs_bowled,run_rate,extras,boundaries_total,is_first_innings,is_high_scoring_venue,team_batting_avg,team_strike_rate,team_centuries,team_fifties,team_bowling_avg,team_economy,team_wickets,team_maidens,team_batsmen,team_bowlers,team_allrounders,team_wicketkeepers,venue_avg_runs,venue_avg_rr,venue_avg_boundaries,opp_avg_runs,opp_avg_rr,opp_avg_boundaries,team_encoded,opposition_encoded,venue_encoded,city_encoded,match_outcome_encoded,team_balance,venue_advantage,total_runs
2,17.0,7.470588235294118,5,17,0,1,19.70827586206897,122.33566666666668,4.0,96.0,36.46476190476191,5.751739130434783,0.0,355.0,14,25,20,6,164.5,8.47,20.0,147.7,7.64,17.7,8,17,39,3,15,0.358974358974359,16.428050761421332,127
1,21.0,11.666666666666666,6,34,1,1,17.99346153846154,109.34464285714286,3.0,48.0,43.8862962962963,6.207666666666666,0.0,174.0,19,25,17,6,161.75,9.49,21.5,147.7,7.64,17.7,65,17,14,38,62,0.4318181818181818,13.678050761421332,245
2,20.666666666666668,11.806451612903226,6,33,0,1,23.668000000000003,131.1275,12.0,134.0,43.14681818181818,5.676923076923076,0.0,371.0,17,28,15,7,161.75,9.49,21.5,142.53,8.1,16.67,17,65,14,38,62,0.3777777777777777,13.678050761421332,244
1,20.5,6.975609756097561,9,18,1,1,17.99346153846154,109.34464285714286,3.0,48.0,43.8862962962963,6.207666666666666,0.0,174.0,19,25,17,6,161.75,9.49,21.5,147.7,7.64,17.7,65,17,14,38,58,0.4318181818181818,13.678050761421332,143
2,2.0,7.5,1,1,0,1,23.668000000000003,131.1275,12.0,134.0,43.14681818181818,5.676923076923076,0.0,371.0,17,28,15,7,161.75,9.49,21.5,142.53,8.1,16.67,17,65,14,38,58,0.3777777777777777,13.678050761421332,15
1,20.33333333333333,7.426229508196721,9,14,1,0,17.843999999999998,113.89703703703708,6.0,72.0,43.237272727272725,5.711304347826087,0.0,227.0,7,20,16,6,146.17,7.47,14.83,140.14,7.41,16.66,0,37,44,67,0,0.2592592592592592,-1.9019492385786805,151
2,20.166666666666668,5.504132231404959,12,8,0,0,19.43103448275862,120.06310344827588,5.0,79.0,31.645789473684204,5.441000000000001,0.0,284.0,11,23,11,8,146.17,7.47,14.83,140.72,7.22,15.83,37,0,44,67,0,0.3235294117647059,-1.9019492385786805,111
1,20.0,5.05,2,10,1,0,19.43103448275862,120.06310344827588,5.0,79.0,31.645789473684204,5.441000000000001,0.0,284.0,11,23,11,8,127.75,6.66,14.25,140.72,7.22,15.83,37,0,66,68,35,0.3235294117647059,-20.321949238578668,101
2,13.166666666666666,4.632911392405063,2,7,0,0,17.843999999999998,113.89703703703708,6.0,72.0,43.237272727272725,5.711304347826087,0.0,227.0,7,20,16,6,127.75,6.66,14.25,140.14,7.41,16.66,0,37,66,68,35,0.2592592592592592,-20.321949238578668,61
1,20.5,5.512195121951219,6,10,1,0,19.43103448275862,120.06310344827588,5.0,79.0,31.645789473684204,5.441000000000001,0.0,284.0,11,23,11,8,128.0,6.52,13.25,140.72,7.22,15.83,37,0,0,67,35,0.3235294117647059,-20.071949238578668,113
2,16.666666666666668,3.96,4,4,0,0,17.843999999999998,113.89703703703708,6.0,72.0,43.237272727272725,5.711304347826087,0.0,227.0,7,20,16,6,128.0,6.52,13.25,140.14,7.41,16.66,0,37,0,67,35,0.2592592592592592,-20.071949238578668,66
1,20.33333333333333,2.9016393442622954,2,5,1,0,15.398571428571428,106.28866666666669,0.0,51.0,48.35304347826087,6.027857142857143,0.0,135.0,12,24,15,4,61.0,5.31,7.0,140.72,7.22,15.83,53,0,67,20,0,0.3333333333333333,-87.07194923857867,59
2,8.166666666666666,7.714285714285714,0,9,0,0,17.843999999999998,113.89703703703708,6.0,72.0,43.237272727272725,5.711304347826087,0.0,227.0,7,20,16,6,61.0,5.31,7.0,159.79,8.13,17.21,0,53,67,20,0,0.2592592592592592,-87.07194923857867,63
1,21.0,4.9523809523809526,8,10,1,0,25.0,120.0,0.0,0.0,30.0,7.0,0.0,0.0,6,4,1,1,85.25,6.04,8.75,94.0,5.55,9.5,11,21,68,62,19,0.6,-62.82194923857867,104
2,14.5,7.310344827586207,3,14,0,0,25.0,120.0,0.0,0.0,30.0,7.0,0.0,0.0,6,4,1,1,85.25,6.04,8.75,88.0,7.1,10.0,21,11,68,62,19,0.6,-62.82194923857867,106
1,21.0,7.904761904761905,14,17,1,0,25.0,120.0,0.0,0.0,30.0,7.0,0.0,0.0,6,4,1,1,99.75,5.64,9.25,113.5,6.46,11.0,10,20,69,62,9,0.6,-48.32194923857867,166
